transportador_codigo;tabela_nome;validade_inicio;validade_fim;cidade_ibge;prazo_adicional
001;KAMER - AC;01/03/2022;31/12/2099;2910701;13
001;KAMER - AC;01/03/2022;31/12/2099;2910602;13
001;KAMER - AC;01/03/2022;31/12/2099;2900504;13
001;KAMER - AC;01/03/2022;31/12/2099;2910503;13
001;KAMER - AC;01/03/2022;31/12/2099;2910404;13
001;KAMER - AC;01/03/2022;31/12/2099;2910305;13
001;KAMER - AC;01/03/2022;31/12/2099;2910206;13
001;KAMER - AC;01/03/2022;31/12/2099;2910107;13
001;KAMER - AC;01/03/2022;31/12/2099;2910057;13
001;KAMER - AC;01/03/2022;31/12/2099;2910008;13
001;KAMER - AC;01/03/2022;31/12/2099;2909901;13
001;KAMER - AC;01/03/2022;31/12/2099;2909802;13
001;KAMER - AC;01/03/2022;31/12/2099;2909703;13
001;KAMER - AC;01/03/2022;31/12/2099;2909604;13
001;KAMER - AC;01/03/2022;31/12/2099;2909505;13
001;KAMER - AC;01/03/2022;31/12/2099;2909406;13
001;KAMER - AC;01/03/2022;31/12/2099;2909307;13
001;KAMER - AC;01/03/2022;31/12/2099;2909208;13
001;KAMER - AC;01/03/2022;31/12/2099;2909109;13
001;KAMER - AC;01/03/2022;31/12/2099;2909000;13
001;KAMER - AC;01/03/2022;31/12/2099;2908903;13
001;KAMER - AC;01/03/2022;31/12/2099;2908804;13
001;KAMER - AC;01/03/2022;31/12/2099;2908705;13
001;KAMER - AC;01/03/2022;31/12/2099;2908606;13
001;KAMER - AC;01/03/2022;31/12/2099;2908507;13
001;KAMER - AC;01/03/2022;31/12/2099;2908408;13
001;KAMER - AC;01/03/2022;31/12/2099;2908309;13
001;KAMER - AC;01/03/2022;31/12/2099;2908200;13
001;KAMER - AC;01/03/2022;31/12/2099;2908101;13
001;KAMER - AC;01/03/2022;31/12/2099;2908002;13
001;KAMER - AC;01/03/2022;31/12/2099;2907905;13
001;KAMER - AC;01/03/2022;31/12/2099;2907806;13
001;KAMER - AC;01/03/2022;31/12/2099;2907707;13
001;KAMER - AC;01/03/2022;31/12/2099;2907608;13
001;KAMER - AC;01/03/2022;31/12/2099;2907558;13
001;KAMER - AC;01/03/2022;31/12/2099;2907509;13
001;KAMER - AC;01/03/2022;31/12/2099;2907400;13
001;KAMER - AC;01/03/2022;31/12/2099;2907301;13
001;KAMER - AC;01/03/2022;31/12/2099;2907202;13
001;KAMER - AC;01/03/2022;31/12/2099;2907103;13
001;KAMER - AC;01/03/2022;31/12/2099;2907004;13
001;KAMER - AC;01/03/2022;31/12/2099;2906907;13
001;KAMER - AC;01/03/2022;31/12/2099;2906899;13
001;KAMER - AC;01/03/2022;31/12/2099;2906873;13
001;KAMER - AC;01/03/2022;31/12/2099;2906857;13
001;KAMER - AC;01/03/2022;31/12/2099;2906824;13
001;KAMER - AC;01/03/2022;31/12/2099;2906808;13
001;KAMER - AC;01/03/2022;31/12/2099;2906709;13
001;KAMER - AC;01/03/2022;31/12/2099;2906600;13
001;KAMER - AC;01/03/2022;31/12/2099;2906501;13
001;KAMER - AC;01/03/2022;31/12/2099;2906402;13
001;KAMER - AC;01/03/2022;31/12/2099;2906303;13
001;KAMER - AC;01/03/2022;31/12/2099;2906204;13
001;KAMER - AC;01/03/2022;31/12/2099;2916203;13
001;KAMER - AC;01/03/2022;31/12/2099;2916104;13
001;KAMER - AC;01/03/2022;31/12/2099;2916005;13
001;KAMER - AC;01/03/2022;31/12/2099;2915908;13
001;KAMER - AC;01/03/2022;31/12/2099;2915809;13
001;KAMER - AC;01/03/2022;31/12/2099;2915700;13
001;KAMER - AC;01/03/2022;31/12/2099;2915601;13
001;KAMER - AC;01/03/2022;31/12/2099;2915502;13
001;KAMER - AC;01/03/2022;31/12/2099;2915403;13
001;KAMER - AC;01/03/2022;31/12/2099;2915353;13
001;KAMER - AC;01/03/2022;31/12/2099;2915304;13
001;KAMER - AC;01/03/2022;31/12/2099;2915205;13
001;KAMER - AC;01/03/2022;31/12/2099;2915106;13
001;KAMER - AC;01/03/2022;31/12/2099;2915007;13
001;KAMER - AC;01/03/2022;31/12/2099;2914901;13
001;KAMER - AC;01/03/2022;31/12/2099;2914802;13
001;KAMER - AC;01/03/2022;31/12/2099;2914703;13
001;KAMER - AC;01/03/2022;31/12/2099;2914653;13
001;KAMER - AC;01/03/2022;31/12/2099;2914604;13
001;KAMER - AC;01/03/2022;31/12/2099;2914505;13
001;KAMER - AC;01/03/2022;31/12/2099;2914406;13
001;KAMER - AC;01/03/2022;31/12/2099;2914307;13
001;KAMER - AC;01/03/2022;31/12/2099;2914208;13
001;KAMER - AC;01/03/2022;31/12/2099;2914109;13
001;KAMER - AC;01/03/2022;31/12/2099;2914000;13
001;KAMER - AC;01/03/2022;31/12/2099;2913903;13
001;KAMER - AC;01/03/2022;31/12/2099;2913804;13
