transportador_codigo,tabela_nome,validade_inicio,validade_fim,tarifa_codigo,cidade_ibge,prazo_entrega_dias
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903953,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903904,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903805,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903706,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903607,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903508,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903409,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903276,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903300,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903235,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903102,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2903003,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902906,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902807,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902708,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902658,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902609,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902500,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902401,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902302,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902252,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902203,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902104,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902005,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2902054,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901957,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901908,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901809,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901700,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901601,13
